Drug_A,Drug_B,Level,DrugA_SMILES,DrugA_Formula,DrugB_SMILES,DrugB_Formula
itraconazole,prucalopride,Minor,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1,C35H38Cl2N8O4,COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1,C18H26ClN3O3
lidocaine,pexidartinib,Minor,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,C14H22N2O,FC(F)(F)C1=CC=C(CNC2=NC=C(CC3=CNC4=NC=C(Cl)C=C34)C=C2)C=N1,C20H15ClF3N5
epirubicin,lomefloxacin,Minor,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,C27H29NO11,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N3CCNC(C)C3)C(F)=C12,C17H19F2N3O3
bexarotene,aminoglutethimide,Minor,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,C24H28O2,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,C13H16N2O2
clevidipine,ticagrelor,Minor,CCCC(=O)OCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC,C21H23Cl2NO6,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC(F)=C(F)C=C2)=N1,C23H28F2N6O4S
sotalol,metronidazole,Minor,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,C12H20N2O3S,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3
grepafloxacin,lomustine,Minor,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,C19H22FN3O3,ClCCN(N=O)C(=O)NC1CCCCC1,C9H16ClN3O2
cyclosporine,sofosbuvir,Minor,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](N2C=CC(=O)NC2=O)[C@](C)(F)[C@@H]1O)OC1=CC=CC=C1,C22H29FN3O9P
didanosine,minocycline,Minor,OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC=NC2=O,C10H12N4O3,[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,C23H27N3O7
promethazine,aluminum hydroxide,Minor,CC(CN1C2=CC=CC=C2SC2=CC=CC=C12)N(C)C,C17H20N2S,[OH-].[OH-].[OH-].[Al+3],AlH3O3
moxifloxacin,cyclophosphamide,Minor,[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O,C21H24FN3O4,ClCCN(CCCl)P1(=O)NCCCO1,C7H15Cl2N2O2P
telaprevir,fidaxomicin,Minor,[H][C@@]12CCC[C@]1([H])[C@H](N(C2)C(=O)[C@@H](NC(=O)[C@@H](NC(=O)C1=NC=CN=C1)C1CCCCC1)C(C)(C)C)C(=O)N[C@@H](CCC)C(=O)C(=O)NC1CC1,C36H53N7O6,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O,C52H74Cl2O18
sorafenib,sulfamethoxazole,Minor,CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1,C21H16ClF3N4O3,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,C10H11N3O3S
fenfluramine,donepezil,Minor,CCNC(C)CC1=CC=CC(=C1)C(F)(F)F,C12H16F3N,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,C24H29NO3
propantheline,hydrochlorothiazide,Minor,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,C23H30NO3,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,C7H8ClN3O4S2
ticlopidine,prednisolone,Minor,ClC1=CC=CC=C1CN1CCC2=C(C1)C=CS2,C14H14ClNS,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H28O5
sucralfate,perphenazine,Minor,O.O[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O,C12H35Al9O55S8,OCCN1CCN(CCCN2C3=CC=CC=C3SC3=C2C=C(Cl)C=C3)CC1,C21H26ClN3OS
uracil mustard,levofloxacin,Minor,ClCCN(CCCl)C1=CNC(=O)NC1=O,C8H11Cl2N3O2,C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,C18H20FN3O4
chlorthalidone,glycopyrronium,Minor,NS(=O)(=O)C1=C(Cl)C=CC(=C1)C1(O)NC(=O)C2=CC=CC=C12,C14H11ClN2O4S,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,C19H28NO3
mitomycin,grepafloxacin,Minor,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,C15H18N4O5,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,C19H22FN3O3
prednisone,midazolam,Minor,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C21H26O5,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,C18H13ClFN3
tolterodine,dexfenfluramine,Minor,CC(C)N(CC[C@H](C1=CC=CC=C1)C1=C(O)C=CC(C)=C1)C(C)C,C22H31NO,CCN[C@@H](C)CC1=CC=CC(=C1)C(F)(F)F,C12H16F3N
amoxapine,ethinylestradiol,Minor,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,C17H16ClN3O,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC[C@@]21[H])C=C(O)C=C3,C20H24O2
quinidine,fidaxomicin,Minor,[H][C@@]12CCN(C[C@@H]1C=C)[C@]([H])(C2)[C@@H](O)C1=C2C=C(OC)C=CC2=NC=C1,C20H24N2O2,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O,C52H74Cl2O18
doxepin,levodopa,Minor,[H]C(CCN(C)C)=C1C2=CC=CC=C2COC2=CC=CC=C12,C19H21NO,N[C@@H](CC1=CC(O)=C(O)C=C1)C(O)=O,C9H11NO4
bexarotene,oxcarbazepine,Minor,CC1=CC2=C(C=C1C(=C)C1=CC=C(C=C1)C(O)=O)C(C)(C)CCC2(C)C,C24H28O2,NC(=O)N1C2=CC=CC=C2CC(=O)C2=C1C=CC=C2,C15H12N2O2
gatifloxacin,thiotepa,Minor,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1,C19H22FN3O4,S=P(N1CC1)(N1CC1)N1CC1,C6H12N3PS
flurazepam,oxtriphylline,Minor,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,C21H23ClFN3O,C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,C12H21N5O3
metronidazole,pimavanserin,Minor,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3,CC(C)COC1=CC=C(CNC(=O)N(CC2=CC=C(F)C=C2)C2CCN(C)CC2)C=C1,C25H34FN3O2
digitoxin,magnesium hydroxide,Minor,[H][C@@]1(CC[C@]2(O)[C@]3([H])CC[C@]4([H])C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)C1=CC(=O)OC1,C41H64O13,[OH-].[OH-].[Mg++],H2MgO2
irinotecan,tubocurarine,Minor,CCC1=C2CN3C(=CC4=C(COC(=O)[C@]4(O)CC)C3=O)C2=NC2=CC=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=C12,C33H38N4O6,[H][C@@]12CC3=CC=C(OC4=C5C(CC[N+](C)(C)[C@]5([H])CC5=CC(OC6=C(OC)C=C(CCN1C)C2=C6)=C(O)C=C5)=CC(OC)=C4O)C=C3,C37H41N2O6
amiloride,amoxicillin,Minor,NC(=N)NC(=O)C1=NC(Cl)=C(N)N=C1N,C6H8ClN7O,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,C16H19N3O5S
melatonin,obeticholic acid,Minor,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,C13H16N2O2,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)[C@H](CC)[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(O)=O,C26H44O4
cyclosporine,citalopram,Minor,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,CN(C)CCCC1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,C20H21FN2O
polythiazide,methscopolamine,Minor,CN1C(CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,C11H13ClF3N3O4S3,C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,C18H24NO4
zidovudine,atovaquone,Minor,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,C10H13N5O4,OC1=C([C@H]2CC[C@@H](CC2)C2=CC=C(Cl)C=C2)C(=O)C2=CC=CC=C2C1=O,C22H19ClO3
prucalopride,boceprevir,Minor,COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1,C18H26ClN3O3,[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C,C27H45N5O5
sotalol,ticagrelor,Minor,CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,C12H20N2O3S,CCCSC1=NC2=C(N=NN2[C@@H]2C[C@H](OCCO)[C@@H](O)[C@H]2O)C(N[C@@H]2C[C@H]2C2=CC(F)=C(F)C=C2)=N1,C23H28F2N6O4S
vincristine,armodafinil,Minor,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC,C46H56N4O10,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,C15H15NO2S
epirubicin,metronidazole,Minor,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,C27H29NO11,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3
cyclosporine,cimetidine,Minor,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,C10H16N6S
vincristine,vinblastine,Minor,[H][C@@]12N3CC[C@@]11C4=C(C=C(OC)C(=C4)[C@]4(C[C@H]5C[N@](C[C@](O)(CC)C5)CCC5=C4NC4=CC=CC=C54)C(=O)OC)N(C=O)[C@@]1([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC,C46H56N4O10,[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@@](CC)([C@@H](OC(C)=O)[C@]2(O)C(=O)OC)[C@@]13[H])[C@]1(C[C@@]2([H])CN(C[C@](O)(CC)C2)CCC2=C1NC1=C2C=CC=C1)C(=O)OC,C46H58N4O9
erythromycin,magnesium carbonate,Minor,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,C37H67NO13,[Mg++].[O-]C([O-])=O,CMgO3
terbutaline,sulfamethoxazole,Minor,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,C12H19NO3,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,C10H11N3O3S
tetracycline,diclofenamide,Minor,[H][C@@]12C[C@@]3([H])C(=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@H]2N(C)C)C(=O)C1=C(O)C=CC=C1[C@@]3(C)O,C22H24N2O8,NS(=O)(=O)C1=CC(=C(Cl)C(Cl)=C1)S(N)(=O)=O,C6H6Cl2N2O4S2
trandolapril,sodium bicarbonate,Minor,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,C24H34N2O5,[Na+].OC([O-])=O,CHNaO3
demeclocycline,hydrochlorothiazide,Minor,[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O,C21H21ClN2O8,NS(=O)(=O)C1=C(Cl)C=C2NCNS(=O)(=O)C2=C1,C7H8ClN3O4S2
temsirolimus,zinc acetate,Minor,OCC(C)(CO)C(=O)O[C@@H]1CC[C@@H](C[C@@H](C)[C@]2([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@@H](OC)C[C@]3([H])CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)C[C@H]1OC,C56H87NO16,[Zn++].CC([O-])=O.CC([O-])=O,C4H6O4Zn
pentostatin,cinoxacin,Minor,OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC[C@H]2O,C11H16N4O4,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,C12H10N2O5
bleomycin,grepafloxacin,Minor,[H][C@](C)(NC(=O)[C@@]([H])(NC(=O)C1=NC(=NC(N)=C1C)[C@H](CC(N)=O)NC[C@H](N)C(N)=O)[C@@]([H])(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)C1=CNC=N1)[C@@H](O)[C@H](C)C(=O)N[C@]([H])(C(=O)NCCC1=NC(=CS1)C1=NC(=CS1)C(=O)NCCC[S+](C)C)[C@@]([H])(C)O,C55H84N17O21S3,CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O,C19H22FN3O3
omeprazole,isosorbide mononitrate,Minor,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,C17H19N3O3S,[H][C@]12OC[C@@H](O[N+]([O-])=O)[C@@]1([H])OC[C@@H]2O,C6H9NO6
modafinil,ketoconazole,Minor,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,C15H15NO2S,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,C26H28Cl2N4O4
indacaterol,suvorexant,Minor,CCC1=C(CC)C=C2CC(CC2=C1)NC[C@H](O)C1=C2C=CC(=O)NC2=C(O)C=C1,C24H28N2O3,[H][C@@]1(C)CCN(CCN1C(=O)C1=C(C=CC(C)=C1)N1N=CC=N1)C1=NC2=C(O1)C=CC(Cl)=C2,C23H23ClN6O2
nalidixic acid,doxorubicin,Minor,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,C12H12N2O3,COC1=CC=CC2=C1C(=O)C1=C(O)C3=C(C[C@](O)(C[C@@H]3O[C@H]3C[C@H](N)[C@H](O)[C@H](C)O3)C(=O)CO)C(O)=C1C2=O,C27H29NO11
scopolamine,phenelzine,Minor,CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,C17H21NO4,NNCCC1=CC=CC=C1,C8H12N2
atenolol,magnesium oxide,Minor,CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,C14H22N2O3,[O--].[Mg++],MgO
bortezomib,elagolix,Minor,CC(C)C[C@H](NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C1=CN=CC=N1)B(O)O,C19H25BN4O4,COC1=CC=CC(=C1F)C1=C(C)N(CC2=C(C=CC=C2F)C(F)(F)F)C(=O)N(C[C@H](NCCCC(O)=O)C2=CC=CC=C2)C1=O,C32H30F5N3O5
dacarbazine,ofloxacin,Minor,CN(C)\N=N\C1=C(N=CN1)C(N)=O,C6H10N6O,CC1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,C18H20FN3O4
aprepitant,darolutamide,Minor,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,C23H21F7N4O3,C[C@@H](CN1C=CC(=N1)C1=CC=C(C#N)C(Cl)=C1)NC(=O)C1=NNC(=C1)C(C)O,C19H19ClN6O2
amcinonide,canagliflozin,Minor,[H][C@@]12C[C@H]3OC4(CCCC4)O[C@@]3(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C28H35FO7,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,C24H25FO5S
trazodone,metronidazole,Minor,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,C19H22ClN5O,CC1=NC=C(N1CCO)[N+]([O-])=O,C6H9N3O3
fluconazole,cannabidiol,Minor,OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,C13H12F2N6O,CCCCCC1=CC(O)=C([C@@H]2C=C(C)CC[C@H]2C(C)=C)C(O)=C1,C21H30O2
midazolam,methylprednisolone,Minor,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12,C18H13ClFN3,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)C=C[C@]12C,C22H30O5
crizotinib,dolutegravir,Minor,C[C@@H](OC1=CC(=CN=C1N)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl,C21H22Cl2FN5O,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2,C20H19F2N3O5
chloramphenicol,escitalopram,Minor,OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)C1=CC=C(C=C1)[N+]([O-])=O,C11H12Cl2N2O5,CN(C)CCC[C@]1(OCC2=C1C=CC(=C2)C#N)C1=CC=C(F)C=C1,C20H21FN2O
zinc acetate,ferrous fumarate,Minor,[Zn++].CC([O-])=O.CC([O-])=O,C4H6O4Zn,[Fe++].[H]\C(=C(\[H])C([O-])=O)C([O-])=O,C4H2FeO4
cisplatin,cinoxacin,Minor,[H][N]([H])([H])[Pt](Cl)(Cl)[N]([H])([H])[H],Cl2H6N2Pt,CCN1N=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12,C12H10N2O5
moexipril,magnesium carbonate,Minor,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O,C27H34N2O7,[Mg++].[O-]C([O-])=O,CMgO3
donepezil,ketoconazole,Minor,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1,C24H29NO3,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,C26H28Cl2N4O4
lorazepam,magnesium carbonate,Minor,OC1N=C(C2=CC=CC=C2Cl)C2=C(NC1=O)C=CC(Cl)=C2,C15H10Cl2N2O2,[Mg++].[O-]C([O-])=O,CMgO3
tolbutamide,potassium citrate,Minor,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,C12H18N2O3S,[K+].[K+].[K+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,C6H5K3O7
enoxacin,tretinoin,Minor,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,C15H17FN4O3,C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O,C20H28O2
ziprasidone,aminoglutethimide,Minor,ClC1=C(CCN2CCN(CC2)C2=NSC3=CC=CC=C23)C=C2CC(=O)NC2=C1,C21H21ClN4OS,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,C13H16N2O2
pyridoxine,primidone,Minor,CC1=C(O)C(CO)=C(CO)C=N1,C8H11NO3,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,C12H14N2O2
dronedarone,fidaxomicin,Minor,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(NS(C)(=O)=O)C=C2,C31H44N2O5S,[H][C@@]1(O[C@@H]2[C@@H](CC)\C=C(C)\[C@@H](O)C\C=C\C=C(CO[C@@H]3O[C@H](C)[C@@H](OC(=O)C4=C(CC)C(Cl)=C(O)C(Cl)=C4O)[C@H](O)[C@@H]3OC)\C(=O)O[C@@H](C\C=C(/C)\C=C2/C)[C@@H](C)O)OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]1O,C52H74Cl2O18
cimetidine,trimetrexate,Minor,CN\C(NCCSCC1=C(C)NC=N1)=N\C#N,C10H16N6S,COC1=CC(NCC2=C(C)C3=C(C=C2)N=C(N)N=C3N)=CC(OC)=C1OC,C19H23N5O3
ascorbic acid,ephedrine,Minor,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,C6H8O6,CN[C@@H](C)[C@H](O)C1=CC=CC=C1,C10H15NO
salmeterol,dexamethasone,Minor,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1,C25H37NO4,[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,C22H29FO5
cyclosporine,zinc acetate,Minor,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,C62H111N11O12,[Zn++].CC([O-])=O.CC([O-])=O,C4H6O4Zn
mitomycin,levofloxacin,Minor,[H][C@]12CN3C4=C([C@@H](COC(N)=O)[C@@]3(OC)[C@@]1([H])N2)C(=O)C(N)=C(C)C4=O,C15H18N4O5,C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,C18H20FN3O4
ponatinib,sodium citrate,Minor,CN1CCN(CC2=CC=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2C(F)(F)F)CC1,C29H27F3N6O,[Na+].[Na+].[Na+].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O,C6H5Na3O7
indomethacin,magnesium carbonate,Minor,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,C19H16ClNO4,[Mg++].[O-]C([O-])=O,CMgO3
levonorgestrel,ethanol,Minor,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H],C21H28O2,CCO,C2H6O
enoxacin,dacarbazine,Minor,CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(N=C12)N1CCNCC1,C15H17FN4O3,CN(C)\N=N\C1=C(N=CN1)C(N)=O,C6H10N6O
